,Provincias,Edad (3 grupos de edad),Españoles/Extranjeros,Sexo,Año,Total
13267,44,0-15 años,Extranjeros,Hombres,2005,871
13268,44,0-15 años,Extranjeros,Hombres,2004,681
13269,44,0-15 años,Extranjeros,Hombres,2003,539
13270,44,0-15 años,Extranjeros,Hombres,2002,317
13271,44,0-15 años,Extranjeros,Hombres,2001,139
13272,44,0-15 años,Extranjeros,Hombres,2000,74
13273,44,0-15 años,Extranjeros,Hombres,1999,52
13274,44,0-15 años,Extranjeros,Hombres,1998,57
13275,44,0-15 años,Extranjeros,Mujeres,2022,1.527
13276,44,0-15 años,Extranjeros,Mujeres,2021,1.483
13277,44,0-15 años,Extranjeros,Mujeres,2020,1.433
13278,44,0-15 años,Extranjeros,Mujeres,2019,1.377
13279,44,0-15 años,Extranjeros,Mujeres,2018,1.364
13280,44,0-15 años,Extranjeros,Mujeres,2017,1.353
13281,44,0-15 años,Extranjeros,Mujeres,2016,1.409
13282,44,0-15 años,Extranjeros,Mujeres,2015,1.461
13283,44,0-15 años,Extranjeros,Mujeres,2014,1.608
13284,44,0-15 años,Extranjeros,Mujeres,2013,1.772
13285,44,0-15 años,Extranjeros,Mujeres,2012,1.806
13286,44,0-15 años,Extranjeros,Mujeres,2011,1.719
13287,44,0-15 años,Extranjeros,Mujeres,2010,1.670
13288,44,0-15 años,Extranjeros,Mujeres,2009,1.635
13289,44,0-15 años,Extranjeros,Mujeres,2008,1.416
13290,44,0-15 años,Extranjeros,Mujeres,2007,1.104
13291,44,0-15 años,Extranjeros,Mujeres,2006,867
13292,44,0-15 años,Extranjeros,Mujeres,2005,777
13293,44,0-15 años,Extranjeros,Mujeres,2004,627
13294,44,0-15 años,Extranjeros,Mujeres,2003,498
13295,44,0-15 años,Extranjeros,Mujeres,2002,272
13296,44,0-15 años,Extranjeros,Mujeres,2001,113
13297,44,0-15 años,Extranjeros,Mujeres,2000,46
13298,44,0-15 años,Extranjeros,Mujeres,1999,34
13299,44,0-15 años,Extranjeros,Mujeres,1998,40
13300,44,16-64 años,Españoles,Hombres,2022,37.559
13301,44,16-64 años,Españoles,Hombres,2021,37.885
13302,44,16-64 años,Españoles,Hombres,2020,37.786
13303,44,16-64 años,Españoles,Hombres,2019,38.046
13304,44,16-64 años,Españoles,Hombres,2018,38.328
13305,44,16-64 años,Españoles,Hombres,2017,38.772
13306,44,16-64 años,Españoles,Hombres,2016,39.182
13307,44,16-64 años,Españoles,Hombres,2015,39.539
13308,44,16-64 años,Españoles,Hombres,2014,39.815
13309,44,16-64 años,Españoles,Hombres,2013,39.851
13310,44,16-64 años,Españoles,Hombres,2012,40.229
13311,44,16-64 años,Españoles,Hombres,2011,40.520
13312,44,16-64 años,Españoles,Hombres,2010,40.669
13313,44,16-64 años,Españoles,Hombres,2009,40.823
13314,44,16-64 años,Españoles,Hombres,2008,41.139
13315,44,16-64 años,Españoles,Hombres,2007,41.258
13316,44,16-64 años,Españoles,Hombres,2006,41.121
13317,44,16-64 años,Españoles,Hombres,2005,41.230
13318,44,16-64 años,Españoles,Hombres,2004,41.076
13319,44,16-64 años,Españoles,Hombres,2003,41.015
13320,44,16-64 años,Españoles,Hombres,2002,41.310
13321,44,16-64 años,Españoles,Hombres,2001,41.404
13322,44,16-64 años,Españoles,Hombres,2000,41.815
13323,44,16-64 años,Españoles,Hombres,1999,41.937
13324,44,16-64 años,Españoles,Hombres,1998,42.146
13325,44,16-64 años,Españoles,Mujeres,2022,34.104
13326,44,16-64 años,Españoles,Mujeres,2021,34.312
13327,44,16-64 años,Españoles,Mujeres,2020,34.320
13328,44,16-64 años,Españoles,Mujeres,2019,34.531
13329,44,16-64 años,Españoles,Mujeres,2018,34.839
13330,44,16-64 años,Españoles,Mujeres,2017,35.174
