,Provincias,Ramas de actividad,Año,Total
1023,26,Impuestos netos sobre los productos,2021,821132
1024,26,Impuestos netos sobre los productos,2020,709317
1025,26,Impuestos netos sobre los productos,2019,820917
1047,37,Valor añadido bruto total,2021,6595417
1048,37,Valor añadido bruto total,2020,6043150
1049,37,Valor añadido bruto total,2019,6531949
1050,37,Impuestos netos sobre los productos,2021,694442
1051,37,Impuestos netos sobre los productos,2020,579549
1052,37,Impuestos netos sobre los productos,2019,670150
1074,38,Valor añadido bruto total,2021,18806123
1075,38,Valor añadido bruto total,2020,17280239
1076,38,Valor añadido bruto total,2019,20831158
1077,38,Impuestos netos sobre los productos,2021,1980126
1078,38,Impuestos netos sobre los productos,2020,1657206
1079,38,Impuestos netos sobre los productos,2019,2137186
1101,40,Valor añadido bruto total,2021,3131284
1102,40,Valor añadido bruto total,2020,2901375
1103,40,Valor añadido bruto total,2019,3175076
1104,40,Impuestos netos sobre los productos,2021,329698
1105,40,Impuestos netos sobre los productos,2020,278247
1106,40,Impuestos netos sobre los productos,2019,325749
1128,41,Valor añadido bruto total,2021,36784601
1129,41,Valor añadido bruto total,2020,33788987
1130,41,Valor añadido bruto total,2019,36766420
1131,41,Impuestos netos sobre los productos,2021,3873109
1132,41,Impuestos netos sobre los productos,2020,3240425
1133,41,Impuestos netos sobre los productos,2019,3772076
1155,42,Valor añadido bruto total,2021,2290405
1156,42,Valor añadido bruto total,2020,2085186
1157,42,Valor añadido bruto total,2019,2289702
1158,42,Impuestos netos sobre los productos,2021,241160
1159,42,Impuestos netos sobre los productos,2020,199973
1160,42,Impuestos netos sobre los productos,2019,234913
1182,43,Valor añadido bruto total,2021,22094952
1183,43,Valor añadido bruto total,2020,19516747
1184,43,Valor añadido bruto total,2019,22350874
1185,43,Impuestos netos sobre los productos,2021,2326412
1186,43,Impuestos netos sobre los productos,2020,1871691
1187,43,Impuestos netos sobre los productos,2019,2293103
1209,44,Valor añadido bruto total,2021,3130476
1210,44,Valor añadido bruto total,2020,2827525
1211,44,Valor añadido bruto total,2019,3078895
