,ID Energía,ID Comunidad,Año,Mes,Valor,Porcentaje
208,3,7,2019,5,557814.719,0.5846381837096982
209,3,7,2019,6,593152.913,0.6020842591989168
210,3,7,2019,7,567609.852,0.5901790201080526
211,3,7,2019,8,395720.567,0.49881704004215277
212,3,7,2019,9,504160.387,0.6226146426707015
213,3,7,2019,10,530463.773,0.6767561078609546
214,3,7,2019,11,1450603.674,0.898691233682992
215,3,7,2019,12,824847.26,0.8255258860311896
216,0,7,2019,1,115653.651,0.09469777885302147
217,0,7,2019,2,136833.657,0.15580544506154312
218,0,7,2019,3,179329.581,0.17985718593981012
219,0,7,2019,4,148760.584,0.13316684773637527
220,0,7,2019,5,208269.494,0.2182844850573007
221,0,7,2019,6,210878.814,0.21405410261878996
222,0,7,2019,7,205256.022,0.21341736319128737
223,0,7,2019,8,216217.09,0.27254779719429584
224,0,7,2019,9,178864.707,0.22088959883951517
225,0,7,2019,10,166911.609,0.21294281836593856
226,0,7,2019,11,106311.443,0.06586303590479467
227,0,7,2019,12,96228.184,0.09630735374907147
228,4,7,2019,1,23995.448,0.019647590962633566
229,4,7,2019,2,41713.263,0.047496746408555016
230,4,7,2019,3,71915.614,0.07212719667913356
231,4,7,2019,4,50141.503,0.044885450942260374
232,4,7,2019,5,99932.783,0.10473821997905258
233,4,7,2019,6,111991.519,0.11367782114167317
234,4,7,2019,7,105120.221,0.10929998625767674
235,4,7,2019,8,107288.293,0.13523994760028538
236,4,7,2019,9,58392.406,0.07211190711096573
237,4,7,2019,10,39471.469,0.0503569877749113
238,4,7,2019,11,9268.323,0.005741996094684129
239,4,7,2019,12,4738.04,0.004741938124461028
240,5,7,2019,1,21393.916,0.017517443752537634
241,5,7,2019,2,23117.681,0.026322913937729363
242,5,7,2019,3,23279.412,0.023347902277502375
243,5,7,2019,4,21033.68,0.018828837495661097
244,5,7,2019,5,23410.206,0.024535925370785847
245,5,7,2019,6,20891.508,0.021206079987216124
246,5,7,2019,7,24602.275,0.025580504814650115
247,5,7,2019,8,22879.467,0.028840219484174836
248,5,7,2019,9,21157.323,0.026128310432913117
249,5,7,2019,10,22637.149,0.028880066142251904
250,5,7,2019,11,23358.473,0.014471254480857504
251,5,7,2019,12,27306.579,0.027329044923366387
252,2,8,2019,1,498000.701,0.2695354577159807
253,2,8,2019,2,532852.413,0.4072416547087818
254,2,8,2019,3,525850.947,0.2899545373278027
255,2,8,2019,4,371615.305,0.24258722171143193
256,2,8,2019,5,295840.986,0.18978891783348417
257,2,8,2019,6,194490.28,0.1802045789434856
258,2,8,2019,7,349848.65,0.3003455633053471
259,2,8,2019,8,359216.117,0.3312956374714962
260,2,8,2019,9,399504.226,0.27190888853280887
261,2,8,2019,10,229935.938,0.19299419145375768
